chrY	2654933	2655690	SRY
chrY	2709498	2735083	RPS4Y1
chrY	2821957	2848122	ZFY
chrY	3447686	3447951	TGIF2LY
chrY	4904913	4982512	PCDH11Y
chrY	6734014	6740781	AMELY
chrY	6892967	6959714	TBL1Y
chrY	7142378	7235580	PRKY
chrY	14518604	14532275	GYG2P1
chrY	14821323	14971474	USP9Y
chrY	15016762	15030193	DDX3Y
chrY	15361571	15591646	UTY
chrY	15816084	15817303	TMSB4Y
chrY	16733915	16953225	NLGN4Y
chrY	21154405	21154685	CD24
chrY	21154405	21154685	TTTY14
chrY	21628963	21636645	BCORP1
chrY	21729148	21752233	CYorf15A
chrY	21759375	21766044	CYorf15B
chrY	21867765	21906525	KDM5D
chrY	22737598	22754445	EIF1AY
chrY	22917911	22943012	RPS4Y2
chrY	24457104	24460984	RBMY1F
chrY	24457104	24460984	RBMY2FP
chrX	2700058	2732610	XG
chrX	2748045	2799390	GYG2
chrX	2822924	2847416	ARSD
chrX	2852933	2878517	ARSE
chrX	2924524	2951480	ARSH
chrX	2986045	3030714	ARSF
chrX	3189749	3202410	CXorf28
chrX	3227650	3261738	MXRA5
chrX	3530317	3631282	PRKX
chrX	3736456	3736632	LOC389906
chrX	5810807	6069622	NLGN4X
chrX	6301806	6302000	MIR4770
chrX	6968227	7066228	HDHD1
chrX	7065951	7066228	MIR4767
chrX	7137541	7268371	STS
chrX	7868578	7894235	PNPLA4
chrX	8094995	8095180	MIR651
chrX	8502351	8700192	KAL1
chrX	8759286	8768209	FAM9A
chrX	8993490	9001259	FAM9B
chrX	9621521	9684469	TBL1X
chrX	9693625	9734057	GPR143
chrX	9754301	9917520	SHROOM2
chrX	9935454	9936122	LOC100288814
chrX	10031425	10109670	WWC3
chrX	10152964	10201741	CLCN4
chrX	10417371	10535610	MID1
chrX	11130041	11140008	HCCS
chrX	11156872	11683008	ARHGAP6
chrX	11312902	11318842	AMELX
chrX	11776353	11793308	MSL3
chrX	12156914	12740042	FRMPD4
chrX	12809546	12841035	PRPS2
chrX	12885520	12906849	TLR7
chrX	12924759	12940329	TLR8-AS1
chrX	12924759	12940329	TLR8
chrX	12993169	12994400	TMSB4X
chrX	13056522	13062055	FAM9C
chrX	13336888	13338149	ATXN3L
chrX	13587843	13651302	EGFL6
chrX	13677671	13681778	TCEANC
chrX	13726933	13727527	RAB9A
chrX	13732457	13752279	TRAPPC2
chrX	13753140	13787355	OFD1
chrX	13790932	13956809	GPM6B
chrX	14026914	14039780	GEMIN8
chrX	14548082	14748687	GLRA2
chrX	14861619	14883661	FANCB
chrX	14891593	14938051	MOSPD2
chrX	15262506	15288140	ASB9
chrX	15301515	15333831	ASB11
chrX	15339545	15353803	PIGA
chrX	15364102	15402203	FIGF
